location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Snowfall Amount,Relative Humidity,Relative Humidity,Relative Humidity,Cloud Cover Total
unit,°C,°C,°C,mm,cm,%,%,%,%
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,2 m,2 m,2 m,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Summation,Maximum,Minimum,Mean,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Cloud Cover Total
19850101T0000,,,,,,,,,
19850102T0000,,,,,,,,,
19850103T0000,,,,,,,,,
19850104T0000,,,,,,,,,
19850105T0000,,,,,,,,,
19850106T0000,,,,,,,,,
19850107T0000,,,,,,,,,
19850108T0000,,,,,,,,,
19850109T0000,,,,,,,,,
19850110T0000,,,,,,,,,
19850111T0000,,,,,,,,,
19850112T0000,,,,,,,,,
19850113T0000,,,,,,,,,
19850114T0000,,,,,,,,,
19850115T0000,,,,,,,,,
19850116T0000,,,,,,,,,
19850117T0000,,,,,,,,,
19850118T0000,,,,,,,,,
19850119T0000,,,,,,,,,
19850120T0000,,,,,,,,,
19850121T0000,,,,,,,,,
19850122T0000,,,,,,,,,
19850123T0000,,,,,,,,,
19850124T0000,,,,,,,,,
19850125T0000,,,,,,,,,
19850126T0000,,,,,,,,,
19850127T0000,,,,,,,,,
19850128T0000,,,,,,,,,
19850129T0000,,,,,,,,,
19850130T0000,,,,,,,,,
19850131T0000,,,,,,,,,
19850201T0000,,,,,,,,,
19850202T0000,,,,,,,,,
19850203T0000,,,,,,,,,
19850204T0000,,,,,,,,,
19850205T0000,,,,,,,,,
19850206T0000,,,,,,,,,
19850207T0000,,,,,,,,,
19850208T0000,,,,,,,,,
19850209T0000,,,,,,,,,
19850210T0000,,,,,,,,,
19850211T0000,,,,,,,,,
19850212T0000,,,,,,,,,
19850213T0000,,,,,,,,,
19850214T0000,,,,,,,,,
19850215T0000,,,,,,,,,
19850216T0000,,,,,,,,,
19850217T0000,,,,,,,,,
19850218T0000,,,,,,,,,
19850219T0000,,,,,,,,,
19850220T0000,,,,,,,,,
19850221T0000,,,,,,,,,
19850222T0000,,,,,,,,,
19850223T0000,,,,,,,,,
19850224T0000,,,,,,,,,
19850225T0000,,,,,,,,,
19850226T0000,,,,,,,,,
19850227T0000,,,,,,,,,
19850228T0000,,,,,,,,,
19850301T0000,,,,,,,,,
19850302T0000,,,,,,,,,
19850303T0000,,,,,,,,,
19850304T0000,,,,,,,,,
19850305T0000,,,,,,,,,
19850306T0000,,,,,,,,,
19850307T0000,,,,,,,,,
19850308T0000,,,,,,,,,
19850309T0000,,,,,,,,,
19850310T0000,,,,,,,,,
19850311T0000,,,,,,,,,
19850312T0000,,,,,,,,,
19850313T0000,,,,,,,,,
19850314T0000,,,,,,,,,
19850315T0000,,,,,,,,,
19850316T0000,,,,,,,,,
19850317T0000,,,,,,,,,
19850318T0000,,,,,,,,,
19850319T0000,,,,,,,,,
19850320T0000,,,,,,,,,
19850321T0000,,,,,,,,,
19850322T0000,,,,,,,,,
19850323T0000,,,,,,,,,
19850324T0000,,,,,,,,,
19850325T0000,,,,,,,,,
19850326T0000,,,,,,,,,
19850327T0000,,,,,,,,,
19850328T0000,,,,,,,,,
19850329T0000,,,,,,,,,
19850330T0000,,,,,,,,,
19850331T0000,,,,,,,,,
19850401T0000,,,,,,,,,
19850402T0000,,,,,,,,,
19850403T0000,,,,,,,,,
19850404T0000,,,,,,,,,
19850405T0000,,,,,,,,,
19850406T0000,,,,,,,,,
19850407T0000,,,,,,,,,
